Wed Dec 17 00:21:17 2014    prof

         11379 function calls (11280 primitive calls) in 108.671 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.228    0.228  108.646  108.646 S-SEBI_Orientado.py:2(<module>)
        1    0.000    0.000  105.428  105.428 S-SEBI_Orientado.py:581(__init__)
        1    1.715    1.715  105.359  105.359 S-SEBI_Orientado.py:173(EscreveTudo)
       18    0.000    0.000   44.245    2.458 gdal_array.py:77(BandRasterIONumPy)
       18   44.245    2.458   44.245    2.458 {_gdal_array.BandRasterIONumPy}
       11    0.001    0.000   38.940    3.540 S-SEBI_Orientado.py:103(saidaImagem)
       11    0.000    0.000   38.939    3.540 gdal.py:1088(WriteArray)
       11    1.227    0.112   38.939    3.540 gdal_array.py:248(BandWriteArray)
        1    0.000    0.000   35.679   35.679 S-SEBI_Orientado.py:321(fazCalculos)
       24    0.000    0.000   28.849    1.202 fromnumeric.py:221(choose)
       24   28.848    1.202   28.848    1.202 {method 'choose' of 'numpy.ndarray' objects}
        1    3.780    3.780   17.919   17.919 S-SEBI_Orientado.py:278(reflectanciaParte2)
        1    5.943    5.943    7.994    7.994 S-SEBI_Orientado.py:420(setFluxoCalSolo)
        1    0.377    0.377    6.693    6.693 S-SEBI_Orientado.py:412(setSaldoRadiacao)
        7    0.022    0.003    6.572    0.939 gdal.py:1080(ReadAsArray)
        7    0.000    0.000    6.534    0.933 gdal_array.py:191(BandReadAsArray)
        1    5.292    5.292    5.292    5.292 S-SEBI_Orientado.py:408(radOndaLongaEmi)
        1    1.627    1.627    4.709    4.709 S-SEBI_Orientado.py:351(setIaf)
        1    0.393    0.393    4.370    4.370 S-SEBI_Orientado.py:372(enb_e_e0)
        1    0.501    0.501    4.016    4.016 S-SEBI_Orientado.py:436(getFluxoCalorLatente)
        1    1.616    1.616    3.179    3.179 S-SEBI_Orientado.py:439(getEvapotranspiracao24h)
        1    0.458    0.458    2.834    2.834 S-SEBI_Orientado.py:456(fracaoEvaporativaSSEBI)
        1    1.517    1.517    2.730    2.730 S-SEBI_Orientado.py:433(getFluxoCalorSensivel)
        2    0.000    0.000    2.372    1.186 fromnumeric.py:683(sort)
        2    2.335    1.168    2.335    1.168 {method 'sort' of 'numpy.ndarray' objects}
        1    1.140    1.140    2.231    2.231 S-SEBI_Orientado.py:383(tempSupertif)
        1    0.895    0.895    2.150    2.150 S-SEBI_Orientado.py:343(setSavi)
        1    0.052    0.052    2.136    2.136 gdal.py:2(<module>)
        2    0.018    0.009    2.092    1.046 __init__.py:4(<module>)
        4    2.086    0.521    2.086    0.521 {imp.load_module}
        1    0.000    0.000    2.072    2.072 __init__.py:6(swig_import_helper)
        1    0.548    0.548    1.793    1.793 S-SEBI_Orientado.py:337(setNdvitif)
        1    0.509    0.509    1.561    1.561 S-SEBI_Orientado.py:504(fracao)
        1    0.133    0.133    1.345    1.345 S-SEBI_Orientado.py:364(albedoSuper)
        1    0.936    0.936    0.936    0.936 S-SEBI_Orientado.py:443(passoFinal)
        1    0.121    0.121    0.853    0.853 __init__.py:106(<module>)
        7    0.848    0.121    0.848    0.121 {method 'astype' of 'numpy.ndarray' objects}
        3    0.249    0.083    0.836    0.279 __init__.py:1(<module>)
        1    0.021    0.021    0.568    0.568 add_newdocs.py:10(<module>)
        1    0.039    0.039    0.339    0.339 type_check.py:3(<module>)
        1    0.243    0.243    0.244    0.244 genericpath.py:15(exists)
        2    0.000    0.000    0.114    0.057 fromnumeric.py:2048(amax)
        2    0.029    0.015    0.114    0.057 _methods.py:15(_amax)
        1    0.026    0.026    0.096    0.096 __init__.py:7(<module>)
        6    0.085    0.014    0.085    0.014 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.012    0.012    0.073    0.073 __init__.py:15(<module>)
        1    0.015    0.015    0.069    0.069 __init__.py:45(<module>)
        1    0.000    0.000    0.069    0.069 S-SEBI_Orientado.py:154(__init__)
        1    0.034    0.034    0.050    0.050 index_tricks.py:1(<module>)
        1    0.000    0.000    0.048    0.048 S-SEBI_Orientado.py:48(__init__)
        1    0.000    0.000    0.047    0.047 S-SEBI_Orientado.py:9(tif)
